Ref,Val,Package,PosX,PosY,Rot,Side
"R16","5k1","R_0402_1005Metric",173.950000,-107.750000,-90.000000,bottom
"R17","5k1","R_0402_1005Metric",173.950000,-101.250000,90.000000,bottom
